GEOCMU;Score
4100103;80
4100202;67,70833333
4100301;67,5
4100400;76,10294118
4100459;83,33333333
4100509;92,70833333
4100608;82,69230769
4100707;82,8125
4100806;73,21428571
4100905;75
4101002;78,28947368
4101051;75
4101101;80,46875
4101150;91,66666667
4101200;76,47058824
4101309;75
4101408;86,85897436
4101507;81,1440678
4101606;82,63888889
4101655;73,4375
4101705;76,13636364
4101804;74,32065217
4101853;75
4101903;83,03571429
4102000;85,546875
4102109;80,95238095
4102208;83,33333333
4102307;72,79411765
4102406;81,89655172
4102505;72,91666667
4102604;71,32352941
4102703;70,83333333
4102752;83,33333333
4102802;80,55555556
4102901;85,83333333
4103008;73,21428571
4103024;70,83333333
4103040;62,5
4103057;77,88461538
4103107;58,65384615
4103156;78,125
4103206;75
4103222;87,5
4103305;91,66666667
4103354;70,3125
4103370;80
4103404;87,5
4103453;82,5
4103479;65,625
4103503;76,78571429
4103602;91,96428571
4103701;91,66666667
4103800;91,07142857
4103909;76,47058824
4103958;64,58333333
4104006;73,86363636
4104055;83,33333333
4104105;67,5
4104204;74,36708861
4104253;78,28947368
4104303;85,18518519
4104402;55,24193548
4104428;83,33333333
4104451;77,08333333
4104501;82,8125
4104600;82,29166667
4104659;86,71875
4104709;82,5
4104808;88
4104907;73,86363636
4105003;80,68181818
4105102;89,28571429
4105201;56,81818182
4105300;79,16666667
4105409;82,60869565
4105508;86,78571429
4105607;83,33333333
4105706;71,05263158
4105805;75
4105904;81,25
4106001;58,33333333
4106100;84,375
4106209;75,73529412
4106308;81,25
4106407;84,375
4106456;57,8125
4106506;72,61904762
4106555;62,5
4106571;72,5
4106605;86,66666667
4106704;85
4106803;62,5
4106852;70,83333333
4106902;84,6240942
4107009;71,875
4107108;82,5
4107124;68,75
4107157;75
4107207;75
4107256;81,25
4107306;78,57142857
4107405;70,83333333
4107504;69,85294118
4107520;83,33333333
4107538;87,5
4107546;69,31818182
4107553;78,125
4107603;78,33333333
4107652;81,94444444
4107702;64,58333333
4107736;73,4375
4107751;76,78571429
4107801;87,5
4107850;90
4107900;97,91666667
4108007;78,125
4108106;91,66666667
4108205;65,625
4108304;83,11965812
4108320;72,22222222
4108403;83,49056604
4108452;87,5
4108502;61,9047619
4108551;79,16666667
4108601;82,8125
4108650;65,27777778
4108700;84,375
4108809;75,80645161
4108908;68,75
4108957;75
4109005;83,33333333
4109104;75
4109203;93,75
4109302;82,5
4109401;82,55494505
4109500;57,421875
4109609;72,84482759
4109658;66,66666667
4109708;85,41666667
4109757;75
4109807;87,5
4109906;82,8125
4110003;71,875
4110052;91,66666667
4110078;76,13636364
4110102;73,14814815
4110201;66,34615385
4110300;75
4110409;79,16666667
4110508;75
4110607;76,78571429
4110656;70,83333333
4110706;75,22321429
4110805;75,96153846
4110904;87,5
4110953;81,73076923
4111001;85,9375
4111100;85
4111209;75
4111258;66,40625
4111308;59,375
4111407;83,33333333
4111506;82,08333333
4111555;77,08333333
4111605;83,33333333
4111704;95,83333333
4111803;89,65517241
4111902;87,5
4112009;86,20689655
4112108;89,0625
4112207;77,77777778
4112306;79,16666667
4112405;80
4112504;71,59090909
4112603;75
4112702;73,4375
4112751;85,41666667
4112801;76,13636364
4112900;78,125
4112959;80
4113007;78,125
4113106;76,78571429
4113205;77,61627907
4113254;62,5
4113304;78,125
4113403;65,90909091
4113429;79,16666667
4113452;65,27777778
4113502;82,03125
4113601;84,375
4113700;89,64088398
4113734;71,875
4113759;70,83333333
4113809;82,5
4113908;75
4114005;78,125
4114104;84,61538462
4114203;88,88888889
4114302;76,78571429
4114351;68,75
4114401;66,875
4114500;66,91176471
4114609;84,02777778
4114708;75
4114807;92,36111111
4114906;79,6875
4115002;85
4115101;92,85714286
4115200;94,23758865
4115309;82,5
4115358;81,25
4115408;82,95454545
4115457;64,58333333
4115507;93,75
4115606;82,03125
4115705;80,55555556
4115739;82,5
4115754;82,8125
4115804;92,24137931
4115853;80,35714286
4115903;65
4116000;95,83333333
4116059;87,5
4116109;81,25
4116208;69,04761905
4116307;87,5
4116406;87,5
4116505;66,66666667
4116604;65,625
4116703;81,73076923
4116802;73,4375
4116901;80
4116950;81,25
4117008;87,5
4117057;71,42857143
4117107;82,5
4117206;91,66666667
4117214;84,375
4117222;70,83333333
4117255;71,25
4117271;75,89285714
4117297;87,5
4117305;70,3125
4117404;79,16666667
4117453;80
4117503;86,25
4117602;71,55172414
4117701;72,34848485
4117800;66,17647059
4117909;77,27272727
4118006;85
4118105;70,83333333
4118204;78,38541667
4118303;66,66666667
4118402;79,54545455
4118451;87,5
4118501;81,71296296
4118600;70,83333333
4118709;73,21428571
4118808;78,125
4118857;81,25
4118907;89,58333333
4119004;73,4375
4119103;81,25
4119152;82,89473684
4119202;73,61111111
4119251;75
4119301;72,65625
4119400;65,34090909
4119509;80,52325581
4119608;77,5
4119657;75
4119707;87,5
4119806;80,35714286
4119905;81,95187166
4119954;79,6875
4120002;78,125
4120101;83,33333333
4120150;71,875
4120200;91,66666667
4120309;72,91666667
4120333;90,625
4120358;83,33333333
4120408;77,5
4120507;73,61111111
4120606;71,62162162
4120655;77,5
4120705;90,625
4120804;78,47222222
4120853;87,5
4120903;70,51282051
4121000;71,25
4121109;70,83333333
4121208;69,53125
4121257;83,33333333
4121307;87,5
4121356;84,375
4121406;80,14705882
4121505;78,33333333
4121604;95,83333333
4121703;69,71153846
4121752;76,38888889
4121802;84,375
4121901;82,29166667
4122008;69,375
4122107;81,25
4122156;78,47222222
4122172;63,88888889
4122206;62,83783784
4122305;82,58928571
4122404;91,2037037
4122503;73,95833333
4122602;79,16666667
4122651;69,44444444
4122701;87,5
4122800;75
4122909;78,57142857
4123006;61,9047619
4123105;85,41666667
4123204;77,5
4123303;67,70833333
4123402;87,5
4123501;79,80769231
4123600;62,5
4123709;81,25
4123808;66,40625
4123824;78,125
4123857;62,5
4123907;80
4123956;77,5
4124004;95,83333333
4124020;80
4124053;90,17857143
4124103;78,44827586
4124202;79,16666667
4124301;75
4124400;70,19230769
4124509;92,5
4124608;83,33333333
4124707;68,05555556
4124806;63,46153846
4124905;82,5
4125001;86,66666667
4125100;71,42857143
4125209;68,75
4125308;100
4125357;100
4125407;67,1875
4125456;91,66666667
4125506;83,58778626
4125555;91,66666667
4125605;73,01136364
4125704;80,35714286
4125753;76,5625
4125803;82,5
4125902;75
4126009;87,5
4126108;87,5
4126207;75
4126256;77,30263158
4126272;87,5
4126306;83,82352941
4126355;84,375
4126405;75
4126504;83,92857143
4126603;80,35714286
4126652;75
4126678;75
4126702;66,66666667
4126801;86,11111111
4126900;76,38888889
4127007;73,07692308
4127106;79,48113208
4127205;89,42307692
4127304;77,27272727
4127403;75
4127502;81,25
4127601;65,625
4127700;77,7173913
4127809;63,39285714
4127858;73,75
4127882;72,91666667
4127908;78,40909091
4127957;75
4127965;75
4128005;79,76190476
4128104;89,62765957
4128203;79,24528302
4128302;70,83333333
4128401;78,125
4128500;78,90625
4128534;75
4128559;80,35714286
4128609;69,44444444
4128625;95,83333333
4128633;57,35294118
4128658;87,5
4128708;90,625
4128807;77,77777778
